tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,sentiment,weighted_score,features
tt2968220,tvEpisode,Episode #10.25,Episode #10.25,0,2013.0,85.0,"Action,Sport",7.5,6,0.0,6.878757473124177,Action Sport 2013.0
tt7265314,tvEpisode,The Case of the Drowned Women,The Case of the Drowned Women,0,2016.0,47.0,Mystery,9.3,39,-0.1,7.077227940053942,Mystery 2016.0
tt9067430,tvEpisode,Wild Horses,Wild Horses,0,2019.0,30.0,"Action,Adventure,Comedy",7.0,8,0.1,6.8722844333442525,Action Adventure Comedy 2019.0
tt6386800,tvEpisode,Carrie Dates a Hunk,Carrie Dates a Hunk,0,2017.0,21.0,Comedy,7.8,80,0.0,7.019263390772393,Comedy 2017.0
tt0064935,movie,Sara Akash,Sara Akash,0,1969.0,100.0,Drama,7.1,52,0.0,6.895304614052449,Drama 1969.0
tt0591085,tvEpisode,Just One More Chance,Just One More Chance,0,1995.0,29.0,"Comedy,Drama,Fantasy",7.1,39,0.5,6.889481769375605,Comedy Drama Fantasy 1995.0
tt5680744,movie,Permitidos,Permitidos,0,2016.0,106.0,"Comedy,Romance",5.6,765,0.0,6.048683997129883,Comedy Romance 2016.0
tt4303722,tvSeries,Caddicarus,Caddicarus,0,2012.0,30.0,Comedy,7.8,384,0.0,7.3152034521255,Comedy 2012.0
tt0024809,movie,6 Day Bike Rider,6 Day Bike Rider,0,1934.0,69.0,"Comedy,Sport",6.1,297,0.0,6.550060375670842,Comedy Sport 1934.0
tt6101044,tvEpisode,Goritang,Goritang,0,1968.0,30.0,"Adventure,Animation,Family",5.0,11,0.0,6.821895497912941,Adventure Animation Family 1968.0
tt3041286,tvSeries,The Shed,The Shed,0,2013.0,30.0,\N,4.5,18,0.0,6.772002680285898,\N 2013.0
tt7243336,video,Elvis Costello & the Attractions: Accidents Will Happen,Elvis Costello & the Attractions: Accidents Will Happen,0,1979.0,2.0,"Animation,Music,Short",7.2,10,0.0,6.877554132253859,Animation Music Short 1979.0
tt1367391,short,The Life Size Zoetrope,The Life Size Zoetrope,0,2007.0,30.0,"Animation,Short",7.2,10,0.0,6.877554132253859,Animation Short 2007.0
tt0572531,tvEpisode,Always a Lady,Always a Lady,0,1988.0,45.0,"Action,Crime,Drama",7.6,29,0.0,6.917210668019355,Action Crime Drama 1988.0
tt9562440,tvEpisode,The Week of Jan. 8,The Week of Jan. 8,0,2019.0,30.0,News,7.2,24,0.0,6.88776734978428,News 2019.0
tt0594025,tvEpisode,Cale,Cale,0,1962.0,60.0,Western,8.2,99,0.0,7.124551583374568,Western 1962.0
tt2376432,short,Love Never Dies,Love Never Dies,0,2012.0,37.0,"Crime,Horror,Mystery",8.1,11,0.5,6.90138267740012,Crime Horror Mystery 2012.0
tt2477606,tvEpisode,Yuckie Duck: Short Orders,Yuckie Duck: Short Orders,0,1995.0,30.0,"Action,Adventure,Animation",7.3,14,0.0,6.8837804828811375,Action Adventure Animation 1995.0
tt0504404,tvEpisode,"Have You Seen Your Mother, Baby, Standing in the Shadow?","Have You Seen Your Mother, Baby, Standing in the Shadow?",0,1989.0,30.0,"Comedy,Family,Sci-Fi",7.5,147,0.0,7.033793218769294,Comedy Family Sci-Fi 1989.0
tt6338762,tvMiniSeries,They Had a Dream,Le rêve français,0,2017.0,186.0,Drama,6.3,23,0.0,6.840120563729368,Drama 2017.0
tt1091913,tvEpisode,Feuerreiter IV,Feuerreiter IV,0,1979.0,30.0,Family,7.8,5,0.0,6.880834913958987,Family 1979.0
tt3949056,movie,"O, Brazen Age","O, Brazen Age",0,2015.0,80.0,Drama,6.8,21,0.0,6.866499245113102,Drama 2015.0
tt4437308,tvEpisode,Amster-damn!,Amster-damn!,0,2015.0,44.0,Reality-TV,7.5,19,0.0,6.897238372093025,Reality-TV 2015.0
tt6054300,tvEpisode,How Is Your Health,How Is Your Health,0,1997.0,30.0,"Comedy,Drama",8.2,21,0.0,6.933469632356838,Comedy Drama 1997.0
tt0441461,short,Runner,Runner,0,2004.0,7.0,Short,5.8,5,0.0,6.857194252020453,Short 2004.0
tt0198977,short,Revolución,Revolución,0,1963.0,9.0,"Documentary,Short",7.8,49,0.0,6.967437191872916,Documentary Short 1963.0
tt2662206,tvEpisode,Episode #1.8,Episode #1.8,0,2010.0,30.0,"Comedy,History",7.3,16,0.0,6.8856985451720085,Comedy History 2010.0
tt1773722,movie,The Dark Side of Chocolate,The Dark Side of Chocolate,0,2010.0,46.0,"Documentary,News",7.5,320,-0.15,7.143080174261046,Documentary News 2010.0
tt0121030,tvMiniSeries,Tanamera - Lion of Singapore,Tanamera - Lion of Singapore,0,1989.0,30.0,Drama,8.2,68,0.0,7.055953021820271,Drama 1989.0
tt1105727,movie,Freezer Burn: The Invasion of Laxdale,Freezer Burn: The Invasion of Laxdale,0,2008.0,90.0,"Action,Adventure,Comedy",4.4,392,0.0,5.67455946741315,Action Adventure Comedy 2008.0
tt3954426,tvEpisode,Bleeding Kansas,Bleeding Kansas,0,2014.0,42.0,"Drama,Western",8.6,437,0.0,7.7541440568475455,Drama Western 2014.0
tt6270636,video,Justin Bieber: Never Let You Go,Justin Bieber: Never Let You Go,0,2010.0,30.0,"Music,Short",4.8,16,0.0,6.793532646554497,Music Short 2010.0
tt3609824,tvSeries,Vaugand,Vaugand,0,2013.0,30.0,"Crime,Drama,Mystery",6.8,19,0.0,6.866803589484329,Crime Drama Mystery 2013.0
tt0034248,movie,Suspicion,Suspicion,0,1941.0,99.0,"Mystery,Thriller",7.4,30602,0.0,7.392856001566881,Mystery Thriller 1941.0
tt5958028,video,Keith and the Captain: On Set with Johnny and the Rock Legend,Keith and the Captain: On Set with Johnny and the Rock Legend,0,2007.0,5.0,Documentary,6.8,6,0.0,6.868851812746819,Documentary 2007.0
tt2523126,short,Into the Glass,Into the Glass,0,2012.0,30.0,Short,8.5,6,0.0,6.892908416520404,Short 2012.0
tt7087882,tvEpisode,Episode #1.1,Episode #1.1,0,2017.0,30.0,Fantasy,8.1,13,0.0,6.90694470673933,Fantasy 2017.0
tt2250679,tvSeries,Oikogeneia tis symforas,Oikogeneia tis symforas,0,2012.0,30.0,"Comedy,Reality-TV",5.4,16,0.0,6.8156524622227,Comedy Reality-TV 2012.0
tt0291273,movie,Jaizkibel,Jaizkibel,0,2001.0,30.0,Drama,6.5,34,0.0,6.842020284523565,Drama 2001.0
tt0042212,movie,"Auf der Alm, da gibt's ka Sünd'","Auf der Alm, da gibt's ka Sünd'",0,1950.0,92.0,Comedy,5.0,20,0.0,6.784459289051716,Comedy 1950.0
tt1869890,tvEpisode,The Riddle,The Riddle,0,2010.0,28.0,Comedy,7.0,5,0.0,6.8713786491835736,Comedy 2010.0
tt3619630,tvEpisode,Certified Guaranty,Certified Guaranty,0,2014.0,21.0,"Comedy,Reality-TV",7.5,46,0.0,6.932312863372094,Comedy Reality-TV 2014.0
tt5207250,tvEpisode,Kluif,Kluif,0,2014.0,30.0,Documentary,8.7,7,0.0,6.899983926128592,Documentary 2014.0
tt0464049,movie,The History Boys,The History Boys,0,2006.0,109.0,"Comedy,Drama,Romance",6.8,19858,0.0,6.801439789337376,Comedy Drama Romance 2006.0
